Symbol,Side,Type,Qty,Filled Qty,Limit Price,Stop Price,Avg Fill Price,Status,Update Time,commission,fee,Order ID
AAPL,Sell,LMT,40,40,208.30,,208.30,Filled,07/13/2026 11:05:09 EDT,0.00,0.09,SMPL0038
TSLA,Sell,MKT,15,15,,,252.00,Filled,07/13/2026 12:20:31 EDT,0.00,0.08,SMPL0039
TSLA,Buy,MKT,15,15,,,250.60,Filled,07/13/2026 13:35:56 EDT,0.00,,SMPL0040
NVDA,Buy,LMT,50,50,156.80,,156.80,Filled,07/14/2026 10:15:24 EDT,0.00,,SMPL0041
NVDA,Sell,MKT,50,50,,,156.20,Filled,07/14/2026 10:50:39 EDT,0.00,0.10,SMPL0042
META,Buy,LMT,6,6,698.00,,698.00,Filled,07/14/2026 13:05:17 EDT,0.00,,SMPL0043
META,Sell,LMT,6,6,701.20,,701.20,Filled,07/14/2026 14:30:50 EDT,0.00,0.05,SMPL0044
TSLA,Buy,MKT,30,30,,,249.50,Filled,07/15/2026 09:50:36 EDT,0.00,,SMPL0045
TSLA,Sell,MKT,30,30,,,243.60,Filled,07/15/2026 10:35:12 EDT,0.00,0.09,SMPL0046
AMD,Buy,LMT,50,50,160.20,,160.20,Filled,07/15/2026 11:20:48 EDT,0.00,,SMPL0047
AMD,Sell,MKT,50,50,,,156.90,Filled,07/15/2026 12:05:26 EDT,0.00,0.12,SMPL0048
NVDA,Buy,MKT,60,60,,,157.00,Filled,07/15/2026 13:10:53 EDT,0.00,,SMPL0049
NVDA,Sell,MKT,60,60,,,154.20,Filled,07/15/2026 13:55:19 EDT,0.00,0.10,SMPL0050
AAPL,Buy,LMT,20,20,206.50,,206.50,Filled,07/15/2026 14:20:44 EDT,0.00,,SMPL0051
AAPL,Sell,LMT,20,20,207.10,,207.10,Filled,07/15/2026 14:50:08 EDT,0.00,0.04,SMPL0052
MSFT,Buy,LMT,12,12,502.00,,502.00,Filled,07/16/2026 10:10:31 EDT,0.00,,SMPL0053
MSFT,Sell,LMT,12,12,504.80,,504.80,Filled,07/16/2026 11:45:57 EDT,0.00,0.07,SMPL0054
AMD,Buy,LMT,25,0,155.00,,,Cancelled,07/16/2026 12:30:00 EDT,,,SMPL0055
PLTR,Sell,LMT,40,40,151.50,,151.50,Filled,07/16/2026 13:20:22 EDT,0.00,0.10,SMPL0056
PLTR,Buy,MKT,40,40,,,150.20,Filled,07/16/2026 14:10:46 EDT,0.00,,SMPL0057
AAPL,Buy,MKT,35,35,,,208.20,Filled,07/17/2026 09:58:03 EDT,0.00,,SMPL0058
AAPL,Sell,LMT,35,35,209.40,,209.40,Filled,07/17/2026 11:15:28 EDT,0.00,0.10,SMPL0059
SPY,Buy,LMT,10,10,628.40,,628.40,Filled,07/17/2026 12:45:51 EDT,0.00,,SMPL0060
SPY,Sell,MKT,10,10,,,629.60,Filled,07/17/2026 14:55:16 EDT,0.00,0.06,SMPL0061
